,Sentiment,Open,High,Low,Close,Volume,year,month,quarter,weekno,pct_change_1w,pct_change_4w,pct_change_8w
2018-01-26,-0.001442220746254457,11656.2001953125,13103.0,10129.7001953125,11171.400390625,70495249408,2018,1,1,4,-3.7562243510799065,-23.77696645957419,1.7839643228489521
2018-02-02,-0.15966896692038451,11174.900390625,12040.2998046875,7796.490234375,8830.75,62406309888,2018,2,1,5,-20.952166324548404,-49.3344616885166,-46.704468527440156
2018-02-09,0.06589554200569789,8852.1201171875,9430.75,6048.259765625,8736.98046875,62923280896,2018,2,1,6,-1.0618524049486155,-37.50639662914583,-50.657764622791724
2018-02-16,0.266812377455148,8720.080078125,10324.099609375,7931.10009765625,10233.900390625,50124829696,2018,2,1,7,17.133149458547024,-11.832968225248274,-26.01179502932942
2018-02-23,0.15713256452055205,10207.5,11958.5,9734.5595703125,10301.099609375,60168439808,2018,2,1,8,0.6566335041873206,-7.7904358524321875,-29.715072992318937
2018-03-02,-0.35362443538074323,10287.7001953125,11189.0,9407.0595703125,11086.400390625,48752799744,2018,3,1,9,7.623465562213383,25.543134961639737,-36.39289485857311
2018-03-09,-0.3033941619250239,11101.900390625,11704.099609375,8513.0302734375,9337.5498046875,50763620352,2018,3,1,10,-15.774737735580812,6.873877515070426,-33.2106628786794
2018-03-16,-0.14012980662997393,9350.58984375,9937.5,7783.0498046875,8338.349609375,42693269504,2018,3,1,11,-10.700882096616994,-18.522271166391878,-28.163504929926674
2018-03-23,0.1480564512903728,8321.91015625,9177.3701171875,7397.990234375,8879.6201171875,41683879936,2018,3,1,12,6.491338612186959,-13.799298580646823,-20.51470892906814
2018-03-30,-0.24883979295386746,8901.9501953125,8996.1796875,6683.93017578125,6890.52001953125,39119799808,2018,3,1,13,-22.40073416886522,-37.847093946218244,-21.971293270319624
2018-04-06,-0.2358444435255868,6892.47998046875,7530.93994140625,6526.8701171875,6636.31982421875,33260640256,2018,4,2,14,-3.6891293340991282,-28.928680831375253,-24.043325403379225
2018-04-13,0.15980628083825382,6630.509765625,8183.9599609375,6630.509765625,7895.9599609375,38108520192,2018,4,2,15,18.981004081837472,-5.3054821297023995,-22.845057509346333
2018-04-20,-0.053616785340838975,7874.669921875,8880.23046875,7846.0,8845.830078125,44999329792,2018,4,2,16,12.029824389772115,-0.3805347370333556,-14.127322193113867
2018-04-27,0.002982843241521308,8848.7900390625,9745.3203125,8652.150390625,8987.0498046875,59402390016,2018,4,2,17,1.5964553390158898,30.426292634135233,-18.936268869675455
2018-05-04,-0.050562767736065446,8939.26953125,9798.330078125,8891.0498046875,9700.759765625,59028709376,2018,5,2,18,7.9415378399843695,46.17679711913232,3.8897780310115815
2018-05-11,-0.11008931355816974,9700.2802734375,9964.5,8394.4599609375,8441.490234375,52306220032,2018,5,2,19,-12.981143350361767,6.908979733133402,1.2369429183448633
2018-05-18,-0.21851187338904726,8441.4404296875,8881.1201171875,7974.81982421875,8250.9697265625,45144560128,2018,5,2,20,-2.2569534824156023,-6.724754447109948,-7.079699157491848
2018-05-25,-0.1308524898120335,8255.73046875,8562.41015625,7331.14013671875,7480.14013671875,37603630080,2018,5,2,21,-9.342290850519108,-16.767567786068906,8.556975605850003
2018-06-01,-0.03577602619216554,7486.47998046875,7608.89990234375,7090.68017578125,7541.4501953125,33782450432,2018,6,2,22,0.8196378339596855,-22.259179924897154,13.63904083993277
2018-06-08,-0.05474862655003865,7536.72021484375,7754.89013671875,7397.0,7624.919921875,33151609344,2018,6,2,23,1.1068126739653072,-9.673295707608641,-3.4326420144399905
2018-06-15,-0.11497570371546709,7632.52001953125,7683.580078125,6285.6298828125,6456.580078125,33196159744,2018,6,2,24,-15.322650673329308,-21.747621284572016,-27.009901602207076
2018-06-22,-0.20726467959292522,6455.4501953125,6822.5,6006.60009765625,6083.68994140625,26892000000,2018,6,2,25,-5.775350606772589,-18.668770501471766,-32.30603953888076
2018-06-29,-0.19493724150317052,6090.10009765625,6327.3701171875,5826.41015625,6218.2998046875,27509090048,2018,6,2,26,2.212635170064803,-17.545039168294498,-35.8988372568273
2018-07-06,0.006409558795747315,6214.22021484375,6771.919921875,6214.22021484375,6673.5,31891249920,2018,7,3,27,7.32033207806031,-12.477769361819636,-20.944053541346076
2018-07-13,-0.0034542493876956737,6668.7099609375,6885.91015625,6136.419921875,6238.0498046875,26338280192,2018,7,3,28,-6.525064738330711,-3.3846133834517733,-24.39616176744377
2018-07-20,-0.01686671787784212,6247.5,7594.669921875,6212.22021484375,7354.1298828125,33048790016,2018,7,3,29,17.89149033863655,20.882720086694405,-1.684597502227092
2018-07-27,-0.15390946153475313,7352.72021484375,8424.26953125,7262.41015625,8165.009765625,35772609792,2018,7,3,30,11.026183868571927,31.30614512137264,8.268430529450189
2018-08-03,-0.03704685530750268,8169.06005859375,8272.259765625,7328.64990234375,7434.39013671875,32573750096,2018,8,3,31,-8.948178261613183,11.401665343803845,-2.4987775230221443
2018-08-10,0.015484267980063051,7438.669921875,7497.490234375,6124.52001953125,6184.7099609375,30416350000,2018,8,3,32,-16.809451115687747,-0.8550724251979891,-4.210744912908315
2018-08-17,-0.02698212407884143,6185.7900390625,6588.490234375,5971.0498046875,6580.6298828125,33315640000,2018,8,3,33,6.401592384697463,-10.517899633616267,8.168396913590591
2018-08-24,0.15065099987245742,6583.43017578125,6816.7900390625,6297.93017578125,6719.9599609375,26530080000,2018,8,3,34,2.117275710778177,-17.698078093809688,8.06748101582102
2018-08-31,-0.2374067632924943,6719.9501953125,7113.2998046875,6620.75,7037.580078125,28391820000,2018,8,3,35,4.726518000610058,-5.337493073357679,5.455609172473208
2018-09-07,0.009403517984208614,7044.81005859375,7388.43017578125,6396.8701171875,6467.06982421875,32395600000,2018,9,3,36,-8.106625396413946,4.565450361692447,3.671340029365533
2018-09-14,-0.19239858705170296,6460.169921875,6596.10009765625,6197.52001953125,6512.7099609375,27422320000,2018,9,3,37,0.7057313120051756,-1.0321188561659644,-11.441461264391062
2018-09-21,0.1440515669970826,6509.39990234375,6794.330078125,6208.33984375,6734.9501953125,29892290000,2018,9,3,38,3.4124079792893003,0.22307029300974168,-17.514486955460907
2018-09-28,-0.36391313678147835,6735.0498046875,6814.56005859375,6381.85986328125,6644.1298828125,31669190000,2018,9,3,39,-1.348492711396898,-5.59070292550512,-10.629792617461964
2018-10-05,-0.10199095777102878,6643.10009765625,6653.2998046875,6454.02978515625,6622.47998046875,27743420000,2018,10,4,40,-0.32585007706962266,2.4031000201667707,7.078262720421757
2018-10-12,-0.17816569052991413,6622.4501953125,6675.06005859375,6236.47021484375,6274.580078125,26879430000,2018,10,4,41,-5.2533175391966225,-3.656387037665987,-4.650767633761788
2018-10-19,0.01861160248517992,6278.080078125,6965.06005859375,6258.68017578125,6465.41015625,29186290000,2018,10,4,42,3.0413203074782347,-4.002108868601562,-3.787966091571593
2018-10-26,0.0479786234343944,6460.919921875,6556.3798828125,6447.02978515625,6474.75,23983020000,2018,10,4,43,0.14445864259626795,-2.549316250584799,-7.9974944778881
2018-11-02,0.042665597330145286,6480.83984375,6547.14013671875,6306.990234375,6388.43994140625,27034960000,2018,11,4,44,-1.3330253460558272,-3.5340241080794366,-1.215850221966619
2018-11-09,-0.14637829008556547,6387.240234375,6552.16015625,6294.56982421875,6385.6201171875,30876840000,2018,11,4,45,-0.04413948075919771,1.7696808022200194,-1.9514126149064004
2018-11-16,-0.17500650331276613,6386.1298828125,6437.27978515625,5358.3798828125,5575.5498046875,36154350000,2018,11,4,46,-12.685851924069503,-13.763401393835583,-17.214683954633227
2018-11-23,-0.34167320785068334,5578.580078125,5653.60986328125,4195.68017578125,4347.10986328125,39491660000,2018,11,4,47,-22.032624305023173,-32.860575878894934,-34.57217212856332
2018-11-30,-0.11689889878034594,4347.68994140625,4413.08984375,3585.06005859375,4017.2685546875,43812404484,2018,11,4,48,-7.587600013973006,-37.11659510720544,-39.338909796098
2018-12-07,-0.018327762967064305,4024.46435546875,4309.37744140625,3280.228759765625,3419.937255859375,38772082352,2018,12,4,49,-14.869090544896146,-46.44314580107435,-45.495360434042986
2018-12-14,-0.09473589133648642,3421.910400390625,3685.3056640625,3206.542236328125,3242.48486328125,32825632220,2018,12,4,50,-5.188761643918937,-41.844571802493554,-49.84873681762021
